day_of_week,minute_of_day,current_occupied,current_empty,label_any_empty
1,1275,1,5,1
6,788,3,3,1
2,700,6,0,0
4,744,2,4,1
0,174,0,6,1
4,292,0,6,1
5,740,2,4,1
4,235,0,6,1
3,442,0,6,1
5,1271,2,4,1
1,451,3,3,1
3,957,5,1,1
6,687,0,6,1
3,494,1,5,1
4,1214,3,3,1
1,1088,4,2,1
6,39,0,6,1
3,821,6,0,0
3,395,0,6,1
5,1381,0,6,1
3,227,0,6,1
1,262,0,6,1
3,39,0,6,1
5,548,0,6,1
6,596,2,4,1
4,949,5,1,1
2,1131,4,2,1
3,1405,1,5,1
4,94,0,6,1
6,278,0,6,1
0,611,6,0,0
1,284,0,6,1
2,138,0,6,1
0,1397,0,6,1
3,532,6,0,0
2,205,0,6,1
6,496,1,5,1
3,149,4,2,1
4,1224,0,6,1
1,1216,1,5,1
0,811,6,0,0
1,1133,5,1,1
4,618,6,0,0
6,166,1,5,1
2,1193,5,1,1
6,130,0,6,1
3,885,6,0,0
3,21,0,6,1
4,855,6,0,0
1,1070,3,3,1
1,667,5,1,1
0,949,0,6,1
4,1210,4,2,1
3,286,0,6,1
3,393,0,6,1
4,105,0,6,1
6,1216,0,6,1
1,583,6,0,0
5,864,4,2,1
3,1293,4,2,1
0,872,6,0,0
6,1091,5,1,1
1,1077,3,3,1
3,147,0,6,1
2,608,2,4,1
1,1180,2,4,1
2,921,5,1,1
0,1246,0,6,1
1,1287,0,6,1
0,149,0,6,1
2,287,0,6,1
6,1096,5,1,1
1,1259,1,5,1
3,382,1,5,1
2,981,4,2,1
2,1057,6,0,0
1,981,3,3,1
1,840,6,0,0
4,1417,0,6,1
2,996,6,0,0
4,804,4,2,1
0,1049,1,5,1
4,70,0,6,1
6,318,0,6,1
2,1293,0,6,1
1,1104,3,3,1
6,440,0,6,1
1,1425,0,6,1
4,329,0,6,1
5,1322,0,6,1
2,1122,3,3,1
3,511,0,6,1
5,1095,6,0,0
2,282,0,6,1
5,645,0,6,1
2,426,4,2,1
5,926,2,4,1
2,1000,6,0,0
2,1103,5,1,1
4,685,6,0,0
0,762,4,2,1
3,294,3,3,1
0,464,5,1,1
0,1377,0,6,1
6,1164,5,1,1
0,999,2,4,1
6,819,3,3,1
6,248,1,5,1
4,535,6,0,0
0,396,3,3,1
0,32,0,6,1
5,906,5,1,1
4,558,6,0,0
1,1297,0,6,1
5,161,0,6,1
3,302,3,3,1
5,568,1,5,1
1,174,2,4,1
3,1311,4,2,1
6,854,3,3,1
5,684,0,6,1
2,241,0,6,1
1,420,1,5,1
1,1135,5,1,1
6,1431,0,6,1
1,1417,0,6,1
0,412,4,2,1
6,369,0,6,1
1,516,5,1,1
4,474,1,5,1
3,131,1,5,1
1,1380,0,6,1
3,1186,6,0,0
3,592,6,0,0
6,971,1,5,1
6,400,1,5,1
3,1376,1,5,1
6,997,3,3,1
0,605,6,0,0
3,536,6,0,0
1,1182,2,4,1
5,895,4,2,1
3,553,6,0,0
0,1169,0,6,1
5,1233,4,2,1
5,771,2,4,1
4,1075,2,4,1
3,770,2,4,1
5,1272,2,4,1
4,737,6,0,0
5,298,1,5,1
0,1064,1,5,1
6,174,0,6,1
4,385,1,5,1
1,743,4,2,1
4,525,5,1,1
0,1436,0,6,1
5,1275,2,4,1
0,40,0,6,1
5,1371,0,6,1
0,686,6,0,0
1,153,2,4,1
4,470,1,5,1
3,533,6,0,0
0,50,0,6,1
3,424,0,6,1
6,588,4,2,1
0,152,0,6,1
1,383,0,6,1
5,589,0,6,1
0,185,1,5,1
4,1069,1,5,1
0,625,6,0,0
4,773,6,0,0
1,1200,3,3,1
5,1164,2,4,1
5,1389,0,6,1
4,1025,0,6,1
6,56,0,6,1
0,474,4,2,1
4,667,4,2,1
2,1243,1,5,1
2,455,3,3,1
6,367,1,5,1
3,746,6,0,0
2,1333,0,6,1
0,212,0,6,1
1,1023,4,2,1
5,241,2,4,1
4,479,1,5,1
1,150,0,6,1
4,532,5,1,1
6,180,1,5,1
5,1103,1,5,1
3,322,2,4,1
3,757,2,4,1
5,317,0,6,1
0,828,6,0,0
1,310,0,6,1
4,1332,1,5,1
5,481,0,6,1
4,942,5,1,1
3,618,6,0,0
2,684,3,3,1
6,1166,1,5,1
